Time (s),Grid Freq (Hz),RoCoF (Hz/s),Gear,Input Shaft RPM,Gen RPM,Torque (Nm),Target RPM,Injected Power (kW)
0.0,50.0,3.1395259764657624,12,3000,1500.0,180.0,1500,28.274333882308138
0.01,50.03139525976466,3.1333308391076287,12,3000,1500.0,180.0,1500,28.274333882308138
0.02,50.06266661678215,3.1147698764101506,12,3000,1500.0,180.0,1500,28.274333882308138
0.03,50.09369065729286,3.0839163400138148,12,3000,1500.0,180.0,1500,28.274333882308138
0.04,50.12434494358243,3.0408919947305435,12,3000,1500.0,180.0,1500,28.274333882308138
0.05,50.15450849718747,2.9858666379954713,12,3000,1500.0,180.0,1500,28.274333882308138
0.06,50.18406227634234,2.91905742975338,12,3000,1500.0,180.0,1500,28.274333882308138
0.07,50.21288964578254,2.8407280354258546,12,3000,1500.0,180.0,1500,28.274333882308138
0.08,50.240876837050855,2.7511875853480916,12,3000,1500.0,180.0,1500,28.274333882308138
0.09,50.2679133974895,2.6507894547691535,12,3000,1500.0,180.0,1500,28.274333882308138
0.1,50.29389262614624,2.5399298692420302,12,3000,1500.0,180.0,1500,28.274333882308138
0.11,50.31871199487434,2.41904634090524,12,3000,1500.0,180.0,1500,28.274333882308138
0.12,50.34227355296434,2.2886159418181506,12,3000,1500.0,180.0,1500,28.274333882308138
0.13,50.364484313710705,2.1491534211776298,12,3000,1500.0,180.0,1500,28.274333882308138
0.14,50.385256621387896,2.0012091738383475,12,3000,1500.0,180.0,1500,28.274333882308138
0.15,50.40450849718747,1.8453670681555678,12,3000,1500.0,180.0,1500,28.274333882308138
0.16,50.42216396275101,1.6822421417231226,12,3000,1500.0,180.0,1500,28.274333882308138
0.17,50.438153340021934,1.5124781741000959,12,3000,1500.0,180.0,1500,28.274333882308138
0.18,50.45241352623301,1.3367451461096636,12,3000,1500.0,180.0,1500,28.274333882308138
0.19,50.46488824294413,1.155736595728385,12,3000,1500.0,180.0,1500,28.274333882308138
0.2,50.47552825814758,0.9701668810095043,12,3000,1500.0,180.0,1500,28.274333882308138
0.21,50.48429158056432,0.7807683608383797,12,3000,1500.0,180.0,1500,28.274333882308138
0.22,50.491143625364344,0.5882885046460729,12,3000,1500.0,180.0,1500,28.274333882308138
0.23,50.49605735065724,0.3934869424895737,12,3000,1500.0,180.0,1500,28.274333882308138
0.24,50.499013364214136,0.19713246713806143,12,3000,1500.0,180.0,1500,28.274333882308138
0.25,50.5,0.0,12,3000,1500.0,180.0,1500,28.274333882308138
0.26,50.499013364214136,-0.19713246713806143,6,3000,1586.5384615384617,310.90909090909093,1500,51.655033054216794
0.27,50.49605735065724,-0.3934869424895737,5,3000,1601.9417475728155,332.72727272727275,1500,55.8166461754303
0.28,50.491143625364344,-0.5882885046460729,4,3000,1617.6470588235295,354.54545454545456,1500,60.05985955392252
0.29,50.48429158056432,-0.7807683608383797,3,3000,1633.6633663366335,376.3636363636364,1500,64.3870969597116
0.3,50.47552825814758,-0.9701668810095043,2,3000,1650.0,398.1818181818182,1500,68.80087911361647
0.31,50.46488824294413,-1.155736595728385,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.32,50.45241352623301,-1.3367451461096636,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.33,50.438153340021934,-1.5124781741000959,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.34,50.42216396275101,-1.6822421417231226,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.35000000000000003,50.40450849718747,-1.8453670681555678,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.36,50.385256621387896,-2.0012091738383475,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.37,50.364484313710705,-2.1491534211776298,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.38,50.34227355296434,-2.2886159418181506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.39,50.31871199487434,-2.41904634090524,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.4,50.29389262614624,-2.5399298692420302,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.41000000000000003,50.2679133974895,-2.6507894547691535,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.42,50.240876837050855,-2.7511875853480916,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.43,50.21288964578254,-2.8407280354258546,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.44,50.18406227634234,-2.91905742975338,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.45,50.15450849718747,-2.9858666379954713,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.46,50.12434494358243,-3.0408919947305435,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.47000000000000003,50.09369065729286,-3.0839163400138148,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.48,50.06266661678215,-3.1147698764101506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.49,50.03139525976466,-3.1333308391076287,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.5,50.0,-3.1395259764657624,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.51,49.96860474023534,-3.1333308391076287,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.52,49.93733338321785,-3.1147698764101506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.53,49.90630934270714,-3.0839163400138148,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.54,49.87565505641757,-3.0408919947305435,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.55,49.84549150281253,-2.9858666379954713,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.56,49.81593772365766,-2.91905742975338,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.5700000000000001,49.78711035421746,-2.8407280354258546,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.58,49.759123162949145,-2.7511875853480916,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.59,49.7320866025105,-2.6507894547691535,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.6,49.70610737385376,-2.5399298692420302,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.61,49.68128800512566,-2.41904634090524,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.62,49.65772644703566,-2.2886159418181506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.63,49.635515686289295,-2.1491534211776298,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.64,49.614743378612104,-2.0012091738383475,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.65,49.59549150281253,-1.8453670681555678,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.66,49.57783603724899,-1.6822421417231226,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.67,49.561846659978066,-1.5124781741000959,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.68,49.54758647376699,-1.3367451461096636,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.6900000000000001,49.53511175705587,-1.155736595728385,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
0.7000000000000001,49.52447174185242,-0.9701668810095043,2,3000,1650.0,398.1818181818182,1500,68.80087911361647
0.71,49.51570841943568,-0.7807683608383797,3,3000,1633.6633663366335,376.3636363636364,1500,64.3870969597116
0.72,49.508856374635656,-0.5882885046460729,4,3000,1617.6470588235295,354.54545454545456,1500,60.05985955392252
0.73,49.50394264934276,-0.3934869424895737,5,3000,1601.9417475728155,332.72727272727275,1500,55.8166461754303
0.74,49.500986635785864,-0.19713246713806143,6,3000,1586.5384615384617,310.90909090909093,1500,51.655033054216794
0.75,49.5,0.0,12,3000,1500.0,180.0,1500,28.274333882308138
0.76,49.500986635785864,0.19713246713806143,12,3000,1500.0,180.0,1500,28.274333882308138
0.77,49.50394264934276,0.3934869424895737,12,3000,1500.0,180.0,1500,28.274333882308138
0.78,49.508856374635656,0.5882885046460729,12,3000,1500.0,180.0,1500,28.274333882308138
0.79,49.51570841943568,0.7807683608383797,12,3000,1500.0,180.0,1500,28.274333882308138
0.8,49.52447174185242,0.9701668810095043,12,3000,1500.0,180.0,1500,28.274333882308138
0.81,49.53511175705587,1.155736595728385,12,3000,1500.0,180.0,1500,28.274333882308138
0.8200000000000001,49.54758647376699,1.3367451461096636,12,3000,1500.0,180.0,1500,28.274333882308138
0.8300000000000001,49.561846659978066,1.5124781741000959,12,3000,1500.0,180.0,1500,28.274333882308138
0.84,49.57783603724899,1.6822421417231226,12,3000,1500.0,180.0,1500,28.274333882308138
0.85,49.59549150281253,1.8453670681555678,12,3000,1500.0,180.0,1500,28.274333882308138
0.86,49.614743378612104,2.0012091738383475,12,3000,1500.0,180.0,1500,28.274333882308138
0.87,49.635515686289295,2.1491534211776298,12,3000,1500.0,180.0,1500,28.274333882308138
0.88,49.65772644703566,2.2886159418181506,12,3000,1500.0,180.0,1500,28.274333882308138
0.89,49.68128800512566,2.41904634090524,12,3000,1500.0,180.0,1500,28.274333882308138
0.9,49.70610737385376,2.5399298692420302,12,3000,1500.0,180.0,1500,28.274333882308138
0.91,49.7320866025105,2.6507894547691535,12,3000,1500.0,180.0,1500,28.274333882308138
0.92,49.759123162949145,2.7511875853480916,12,3000,1500.0,180.0,1500,28.274333882308138
0.93,49.78711035421746,2.8407280354258546,12,3000,1500.0,180.0,1500,28.274333882308138
0.9400000000000001,49.81593772365766,2.91905742975338,12,3000,1500.0,180.0,1500,28.274333882308138
0.9500000000000001,49.84549150281253,2.9858666379954713,12,3000,1500.0,180.0,1500,28.274333882308138
0.96,49.87565505641757,3.0408919947305435,12,3000,1500.0,180.0,1500,28.274333882308138
0.97,49.90630934270714,3.0839163400138148,12,3000,1500.0,180.0,1500,28.274333882308138
0.98,49.93733338321785,3.1147698764101506,12,3000,1500.0,180.0,1500,28.274333882308138
0.99,49.96860474023534,3.1333308391076287,12,3000,1500.0,180.0,1500,28.274333882308138
1.0,50.0,3.1395259764657624,12,3000,1500.0,180.0,1500,28.274333882308138
1.01,50.03139525976466,3.1333308391076287,12,3000,1500.0,180.0,1500,28.274333882308138
1.02,50.06266661678215,3.1147698764101506,12,3000,1500.0,180.0,1500,28.274333882308138
1.03,50.09369065729286,3.0839163400138148,12,3000,1500.0,180.0,1500,28.274333882308138
1.04,50.12434494358243,3.0408919947305435,12,3000,1500.0,180.0,1500,28.274333882308138
1.05,50.15450849718747,2.9858666379954713,12,3000,1500.0,180.0,1500,28.274333882308138
1.06,50.18406227634234,2.91905742975338,12,3000,1500.0,180.0,1500,28.274333882308138
1.07,50.21288964578254,2.8407280354258546,12,3000,1500.0,180.0,1500,28.274333882308138
1.08,50.240876837050855,2.7511875853480916,12,3000,1500.0,180.0,1500,28.274333882308138
1.09,50.2679133974895,2.6507894547691535,12,3000,1500.0,180.0,1500,28.274333882308138
1.1,50.29389262614624,2.5399298692420302,12,3000,1500.0,180.0,1500,28.274333882308138
1.11,50.31871199487434,2.41904634090524,12,3000,1500.0,180.0,1500,28.274333882308138
1.12,50.34227355296434,2.2886159418181506,12,3000,1500.0,180.0,1500,28.274333882308138
1.1300000000000001,50.364484313710705,2.1491534211776298,12,3000,1500.0,180.0,1500,28.274333882308138
1.1400000000000001,50.385256621387896,2.0012091738383475,12,3000,1500.0,180.0,1500,28.274333882308138
1.1500000000000001,50.40450849718747,1.8453670681555678,12,3000,1500.0,180.0,1500,28.274333882308138
1.16,50.42216396275101,1.6822421417231226,12,3000,1500.0,180.0,1500,28.274333882308138
1.17,50.438153340021934,1.5124781741000959,12,3000,1500.0,180.0,1500,28.274333882308138
1.18,50.45241352623301,1.3367451461096636,12,3000,1500.0,180.0,1500,28.274333882308138
1.19,50.46488824294413,1.155736595728385,12,3000,1500.0,180.0,1500,28.274333882308138
1.2,50.47552825814758,0.9701668810095043,12,3000,1500.0,180.0,1500,28.274333882308138
1.21,50.48429158056432,0.7807683608383797,12,3000,1500.0,180.0,1500,28.274333882308138
1.22,50.491143625364344,0.5882885046460729,12,3000,1500.0,180.0,1500,28.274333882308138
1.23,50.49605735065724,0.3934869424895737,12,3000,1500.0,180.0,1500,28.274333882308138
1.24,50.499013364214136,0.19713246713806143,12,3000,1500.0,180.0,1500,28.274333882308138
1.25,50.5,0.0,12,3000,1500.0,180.0,1500,28.274333882308138
1.26,50.499013364214136,-0.19713246713806143,6,3000,1586.5384615384617,310.90909090909093,1500,51.655033054216794
1.27,50.49605735065724,-0.3934869424895737,5,3000,1601.9417475728155,332.72727272727275,1500,55.8166461754303
1.28,50.491143625364344,-0.5882885046460729,4,3000,1617.6470588235295,354.54545454545456,1500,60.05985955392252
1.29,50.48429158056432,-0.7807683608383797,3,3000,1633.6633663366335,376.3636363636364,1500,64.3870969597116
1.3,50.47552825814758,-0.9701668810095043,2,3000,1650.0,398.1818181818182,1500,68.80087911361647
1.31,50.46488824294413,-1.155736595728385,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.32,50.45241352623301,-1.3367451461096636,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.33,50.438153340021934,-1.5124781741000959,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.34,50.42216396275101,-1.6822421417231226,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.35,50.40450849718747,-1.8453670681555678,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.36,50.385256621387896,-2.0012091738383475,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.37,50.364484313710705,-2.1491534211776298,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.3800000000000001,50.34227355296434,-2.2886159418181506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.3900000000000001,50.31871199487434,-2.41904634090524,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.4000000000000001,50.29389262614624,-2.5399298692420302,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.41,50.2679133974895,-2.6507894547691535,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.42,50.240876837050855,-2.7511875853480916,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.43,50.21288964578254,-2.8407280354258546,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.44,50.18406227634234,-2.91905742975338,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.45,50.15450849718747,-2.9858666379954713,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.46,50.12434494358243,-3.0408919947305435,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.47,50.09369065729286,-3.0839163400138148,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.48,50.06266661678215,-3.1147698764101506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.49,50.03139525976466,-3.1333308391076287,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.5,50.0,-3.1395259764657624,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.51,49.96860474023534,-3.1333308391076287,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.52,49.93733338321785,-3.1147698764101506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.53,49.90630934270714,-3.0839163400138148,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.54,49.87565505641757,-3.0408919947305435,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.55,49.84549150281253,-2.9858666379954713,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.56,49.81593772365766,-2.91905742975338,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.57,49.78711035421746,-2.8407280354258546,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.58,49.759123162949145,-2.7511875853480916,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.59,49.7320866025105,-2.6507894547691535,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.6,49.70610737385376,-2.5399298692423855,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.61,49.68128800512565,-2.41904634090524,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.62,49.65772644703566,-2.2886159418177954,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.6300000000000001,49.635515686289295,-2.1491534211776298,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.6400000000000001,49.614743378612104,-2.0012091738383475,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.6500000000000001,49.59549150281253,-1.8453670681555678,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.6600000000000001,49.57783603724899,-1.6822421417231226,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.67,49.561846659978066,-1.5124781741000959,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.68,49.54758647376699,-1.3367451461096636,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.69,49.53511175705587,-1.155736595728385,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
1.7,49.52447174185242,-0.9701668810095043,2,3000,1650.0,398.1818181818182,1500,68.80087911361647
1.71,49.51570841943568,-0.7807683608383797,3,3000,1633.6633663366335,376.3636363636364,1500,64.3870969597116
1.72,49.508856374635656,-0.5882885046460729,4,3000,1617.6470588235295,354.54545454545456,1500,60.05985955392252
1.73,49.50394264934276,-0.3934869424895737,5,3000,1601.9417475728155,332.72727272727275,1500,55.8166461754303
1.74,49.500986635785864,-0.19713246713806143,6,3000,1586.5384615384617,310.90909090909093,1500,51.655033054216794
1.75,49.5,0.0,12,3000,1500.0,180.0,1500,28.274333882308138
1.76,49.500986635785864,0.19713246713806143,12,3000,1500.0,180.0,1500,28.274333882308138
1.77,49.50394264934276,0.3934869424895737,12,3000,1500.0,180.0,1500,28.274333882308138
1.78,49.508856374635656,0.5882885046460729,12,3000,1500.0,180.0,1500,28.274333882308138
1.79,49.51570841943568,0.7807683608383797,12,3000,1500.0,180.0,1500,28.274333882308138
1.8,49.52447174185242,0.9701668810095043,12,3000,1500.0,180.0,1500,28.274333882308138
1.81,49.53511175705587,1.155736595728385,12,3000,1500.0,180.0,1500,28.274333882308138
1.82,49.54758647376699,1.3367451461096636,12,3000,1500.0,180.0,1500,28.274333882308138
1.83,49.561846659978066,1.5124781741000959,12,3000,1500.0,180.0,1500,28.274333882308138
1.84,49.57783603724899,1.6822421417231226,12,3000,1500.0,180.0,1500,28.274333882308138
1.85,49.59549150281253,1.8453670681555678,12,3000,1500.0,180.0,1500,28.274333882308138
1.86,49.614743378612104,2.0012091738383475,12,3000,1500.0,180.0,1500,28.274333882308138
1.87,49.635515686289295,2.1491534211776298,12,3000,1500.0,180.0,1500,28.274333882308138
1.8800000000000001,49.65772644703566,2.2886159418181506,12,3000,1500.0,180.0,1500,28.274333882308138
1.8900000000000001,49.68128800512566,2.41904634090524,12,3000,1500.0,180.0,1500,28.274333882308138
1.9000000000000001,49.70610737385376,2.5399298692420302,12,3000,1500.0,180.0,1500,28.274333882308138
1.9100000000000001,49.7320866025105,2.6507894547691535,12,3000,1500.0,180.0,1500,28.274333882308138
1.92,49.759123162949145,2.7511875853480916,12,3000,1500.0,180.0,1500,28.274333882308138
1.93,49.78711035421746,2.8407280354258546,12,3000,1500.0,180.0,1500,28.274333882308138
1.94,49.81593772365766,2.91905742975338,12,3000,1500.0,180.0,1500,28.274333882308138
1.95,49.84549150281253,2.9858666379954713,12,3000,1500.0,180.0,1500,28.274333882308138
1.96,49.87565505641757,3.0408919947305435,12,3000,1500.0,180.0,1500,28.274333882308138
1.97,49.90630934270714,3.0839163400138148,12,3000,1500.0,180.0,1500,28.274333882308138
1.98,49.93733338321785,3.1147698764101506,12,3000,1500.0,180.0,1500,28.274333882308138
